"","fullname","basename","qa_date","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","AERslope","AERr_squared","first_minutes_bl_CO","first_minutes_bl_CO2","last_minutes_bl_CO","last_minutes_bl_CO2","Run_avg","Run_sd","bg_start_flag","bg_end_flag","nonresponsive_flag","CO2_maxout_flag","CO_maxout_flag","flag_total","flags"
"1","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-19_KE152-KE005-E_3-Test011.xls","2019-09-19_KE152-KE005-E_3-Test011.xls",2019-12-02,"KE152-KE005-E",NA,"E",5,152,"3-Test011",1,0.733333333333333,-13.6198438057115,0.833002814522068,0.02,535,0,493.4,1.92888888888889,2.55757539853509,0,0,0,0,0,0,""
"2","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-24_KE126-KE004-E_3-Test012.xls","2019-09-24_KE126-KE004-E_3-Test012.xls",2019-12-02,"KE126-KE004-E",NA,"E",4,126,"3-Test012",1,0.533333333333333,-7.94188361680025,0.555219617577064,1.46,594.2,0,551,7.03030303030303,7.20947661278564,0,0,0,0,0,0,""
"3","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-24_KE157-KE013-E_Test034.xls","2019-09-24_KE157-KE013-E_Test034.xls",2019-12-02,"KE157-KE013-E",NA,"E",13,157,"Test034",60,2.04972222222222,NA,NA,1.12,201.6,2.64,240.8,68.0733870967742,38.870071478285,0,0,0,0,0,0,""
"4","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-09-26_KE085-KE005-E_Test013.xls","2019-09-26_KE085-KE005-E_Test013.xls",2019-12-02,"KE085-KE005-E",NA,"E",5,85,"Test013",1,0.633333333333333,-16.0643959110003,0.903315412412799,3.48,885.4,3.9,670,18.3179487179487,16.6665576244746,0,0,0,0,0,0,""
"5","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-02_KE238-KE004-E_Test014.xls","2019-10-02_KE238-KE004-E_Test014.xls",2019-12-02,"KE238-KE004-E",NA,"E",4,238,"Test014",1,1.35,-16.7738961588543,0.893208129184192,0,444.4,0,499.4,33.0390243902439,33.8375923467755,0,0,0,0,0,0,""
"6","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-08_KE157-KE013-E_Test015.xls","2019-10-08_KE157-KE013-E_Test015.xls",2019-12-02,"KE157-KE013-E",NA,"E",13,157,"Test015",1,1.91666666666667,-17.677254911708,0.909858567807631,0,596.8,0.04,463.4,113.326724137931,84.2666238098207,0,0,0,0,0,0,""
"7","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-14_KE053-KE011-E_Test007.xls","2019-10-14_KE053-KE011-E_Test007.xls",2019-12-02,"KE053-KE011-E",NA,"E",11,53,"Test007",1,0.767777777777778,-13.293477068864,0.953662498020686,17.68,510.8,20.62,1037,19.6468085106383,2.01255311178415,1,1,0,0,0,2,"bg_start, bg_end"
"8","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-14_KE229-KE004-E_Test035.xls","2019-10-14_KE229-KE004-E_Test035.xls",2019-12-02,"KE229-KE004-E",NA,"E",4,229,"Test035",60,2.18305555555556,-4.33094932578816,1,12,206.8,13.24,231,85.4931818181818,46.1399765287496,1,1,0,0,0,2,"bg_start, bg_end"
"9","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-15_KE026-KE004-E_Test037.xls","2019-10-15_KE026-KE004-E_Test037.xls",2019-12-02,"KE026-KE004-E",NA,"E",4,26,"Test037",60,0.599722222222222,-16.4851855303418,0.95474324444336,1.98,91.4,65.94,525.4,107.683783783784,107.812096088811,0,1,0,1,0,2,"bg_end, CO2_maxout"
"10","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-15_KE158-KE011-E_Test008.xls","2019-10-15_KE158-KE011-E_Test008.xls",2019-12-02,"KE158-KE011-E",NA,"E",11,158,"Test008",1,1.31833333333333,-23.7692007127791,0.952805877900039,18.04,705.4,17.32,633.2,17.9225,0.510639955895504,1,1,0,0,0,2,"bg_start, bg_end"
"11","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-16_KE199-KE05-E_Test009.xls","2019-10-16_KE199-KE05-E_Test009.xls",2019-12-02,"KE199-KE05-E",NA,"E",5,199,"Test009",1,1.33472222222222,NA,NA,19.54,563.2,18.12,962.4,19.6691358024691,0.983443182815947,1,1,0,0,0,2,"bg_start, bg_end"
"12","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-17_KE015-KE005-E_Test010.xls","2019-10-17_KE015-KE005-E_Test010.xls",2019-12-02,"KE015-KE005-E",NA,"E",5,15,"Test010",1,0.650833333333333,NA,NA,19.74,3597.2,17.94,500.8,18.6925,0.71338395459014,1,1,0,0,0,2,"bg_start, bg_end"
"13","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-18_KE026-KE011-E_Test039.xls","2019-10-18_KE026-KE011-E_Test039.xls",2019-12-02,"KE026-KE011-E",NA,"E",11,26,"Test039",60,0.966388888888889,-29.4480246924806,0.858228749118842,5.66,160.2,1.18,155.8,71.2864406779661,83.4707185033029,0,0,0,0,0,0,""
"14","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-23_KE190-KE04-E_Test016.xls","2019-10-23_KE190-KE04-E_Test016.xls",2019-12-02,"KE190-KE04-E",NA,"E",4,190,"Test016",60,1.91638888888889,-12.0907177760029,0.899868288138077,4.06,580.6,1.98,514,27.5370689655172,17.6251328958168,0,0,0,0,0,0,""
"15","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-24_KE023-KE005-E_Test017.xls","2019-10-24_KE023-KE005-E_Test017.xls",2019-12-02,"KE023-KE005-E",NA,"E",5,23,"Test017",1,1.36666666666667,-10.2765288204242,0.76958614878213,35.3,1120.8,0,371.8,69.1373493975904,41.7121895702238,1,0,0,0,0,1,"bg_start"
"16","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-24_KE028-KE011-E_Test011.xls","2019-10-24_KE028-KE011-E_Test011.xls",2019-12-02,"KE028-KE011-E",NA,"E",11,28,"Test011",1,1.06777777777778,-19.8750494852213,0.870814487161507,19.36,1355.8,17.58,449.2,19.4061538461538,0.893181973878525,1,1,0,0,0,2,"bg_start, bg_end"
"17","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-28_KE117-KE004-E_Test018.xls","2019-10-28_KE117-KE004-E_Test018.xls",2019-12-02,"KE117-KE004-E",NA,"E",4,117,"Test018",1,1.08333333333333,-18.7232142308128,0.817423026932203,0,366.4,0,375.6,161.686363636364,150.796792341282,0,0,0,0,1,1,"CO_maxout"
"18","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-29_KE148-KE005-E_Test012.xls","2019-10-29_KE148-KE005-E_Test012.xls",2019-12-02,"KE148-KE005-E",NA,"E",5,148,"Test012",1,1.15138888888889,-13.8158085860711,0.997859061728023,20.12,461.4,20.28,628.2,21.63,1.07479017163513,1,1,0,0,0,2,"bg_start, bg_end"
"19","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-29_KE162-KE001-E_Test019.xls","2019-10-29_KE162-KE001-E_Test019.xls",2019-12-02,"KE162-KE001-E",NA,"E",1,162,"Test019",1,0.983333333333333,-15.1914449765257,0.669646924385386,1.54,384.6,32.32,600.2,156.666666666667,146.206608706236,0,1,0,0,1,2,"bg_end, CO_maxout"
"20","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-30_KE048-KE004-E_Test020.xls","2019-10-30_KE048-KE004-E_Test020.xls",2019-12-02,"KE048-KE004-E",NA,"E",4,48,"Test020",1,1.1,-14.433331337514,0.397629245796519,15.02,420.2,14.6,546.6,153.686567164179,85.8654742333018,1,1,0,0,0,2,"bg_start, bg_end"
"21","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-10-30_KE229-KE011-E_Test013.xls","2019-10-30_KE229-KE011-E_Test013.xls",2019-12-02,"KE229-KE011-E",NA,"E",11,229,"Test013",1,0.500833333333333,-18.0835422143866,1,18.62,645,18.04,544.4,18.8935483870968,0.61910445207626,1,1,0,0,0,2,"bg_start, bg_end"
"22","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-04_KE053-KE004-E_Test021.xls","2019-11-04_KE053-KE004-E_Test021.xls",2019-12-02,"KE053-KE004-E",NA,"E",4,53,"Test021",1,1.38333333333333,-7.88076855962341,0.86789343552573,2.9,612.4,0,924.4,16.172619047619,17.062241488861,0,0,0,0,0,0,""
"23","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-04_KE148-KE011-E_Test014.xls","2019-11-04_KE148-KE011-E_Test014.xls",2019-12-02,"KE148-KE011-E",NA,"E",11,148,"Test014",1,1.36833333333333,-23.0100727608903,1,19.26,605.8,18.16,542,19.6277108433735,0.913357949895377,1,1,0,0,0,2,"bg_start, bg_end"
"24","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-06_KE040-KE004-E_Test023.xls","2019-11-06_KE040-KE004-E_Test023.xls",2019-12-02,"KE040-KE004-E",NA,"E",4,40,"Test023",1,0.583333333333333,-15.4679614768126,0.742160283460678,0.88,419.4,0,430,1.25,0.831693624909008,0,0,0,0,0,0,""
"25","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-06_KE062-KE004-E_Test022.xls","2019-11-06_KE062-KE004-E_Test022.xls",2019-12-02,"KE062-KE004-E",NA,"E",4,62,"Test022",1,0.433333333333333,-4.11232503271225,0.638673649855464,1.32,502.4,2.18,795.8,13.737037037037,13.0516473510243,0,0,0,0,0,0,""
"26","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-06_KE155-KE011-E_Test015.xls","2019-11-06_KE155-KE011-E_Test015.xls",2019-12-02,"KE155-KE011-E",NA,"E",11,155,"Test015",1,0.400555555555556,-15.770359693681,0.64157430433432,16.78,888,18.68,786.6,17.976,1.56691841948882,1,1,0,0,0,2,"bg_start, bg_end"
"27","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-07_KE033-KE004-E_Test024.xls","2019-11-07_KE033-KE004-E_Test024.xls",2019-12-02,"KE033-KE004-E",NA,"E",4,33,"Test024",1,1.58333333333333,-23.4161803224556,0.842009009282197,26.64,459.8,3.84,426.8,119.869791666667,107.20963636951,1,0,0,0,1,2,"bg_start, CO_maxout"
"28","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-07_KE103-KE005-E_Test016.xls","2019-11-07_KE103-KE005-E_Test016.xls",2019-12-02,"KE103-KE005-E",NA,"E",5,103,"Test016",1,1.06972222222222,-16.3168871926088,0.909688094283363,18.78,515.8,16.84,551.4,18.1222222222222,0.66180618113134,1,1,0,0,0,2,"bg_start, bg_end"
"29","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-22_KE510-KE011-E_Test026.xls","2019-11-22_KE510-KE011-E_Test026.xls",2019-12-02,"KE510-KE011-E",NA,"E",11,510,"Test026",1,1.18333333333333,NA,NA,0.26,713.2,1.38,493.4,35.3583333333333,26.9505376360703,0,0,0,0,0,0,""
"30","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-26_KE507-KE05-E_Test017.xls","2019-11-26_KE507-KE05-E_Test017.xls",2019-12-02,"KE507-KE05-E",NA,"E",5,507,"Test017",1,0.834444444444444,NA,NA,14.84,973.4,15.58,1434.8,16.1705882352941,1.09768740862726,1,1,0,0,0,2,"bg_start, bg_end"
"31","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-26_KE508-KE004-E_Test027.xls","2019-11-26_KE508-KE004-E_Test027.xls",2019-12-02,"KE508-KE004-E",NA,"E",4,508,"Test027",1,0.983333333333333,NA,NA,2.96,930.6,0.86,1123,5.19166666666667,2.28994054150229,0,0,0,0,0,0,""
"32","/Users/ricardopiedrahita/Dropbox/UNOPSemissionsexposure/E2EDataAnalysis/ProcessedData/CleanedTSIData/2019-11-27_KE501-KE004-E_Test028.xls","2019-11-27_KE501-KE004-E_Test028.xls",2019-12-02,"KE501-KE004-E",NA,"E",4,501,"Test028",1,0.0166666666666667,NA,NA,0.1,437.5,0.1,437.5,0.1,0.14142135623731,0,0,0,0,0,0,""
